

Microchip MPLAB XC8 Assembler V2.10 build 88905656 
                                                                                               Thu Mar 19 15:28:53 2020

Microchip MPLAB XC8 C Compiler v2.10 (Free license) build 20190730164152 Og1 
     1                           	processor	16F1708
     2                           	opt	pw 120
     3                           	opt	flic
     4                           	psect	cinit,global,class=CODE,merge=1,delta=2
     5                           	psect	cstackCOMMON,global,class=COMMON,space=1,delta=1
     6                           	psect	maintext,global,class=CODE,merge=1,split=1,delta=2
     7                           	psect	text1,local,class=CODE,merge=1,delta=2
     8                           	psect	text2,local,class=CODE,merge=1,delta=2
     9                           	psect	text3,local,class=CODE,merge=1,delta=2
    10                           	psect	text4,local,class=CODE,merge=1,delta=2
    11                           	dabs	1,0x7E,2
    12  0000                     
    13                           ; Version 2.10
    14                           ; Generated 31/07/2019 GMT
    15                           ; 
    16                           ; Copyright © 2019, Microchip Technology Inc. and its subsidiaries ("Microchip")
    17                           ; All rights reserved.
    18                           ; 
    19                           ; This software is developed by Microchip Technology Inc. and its subsidiaries ("Microch
      +                          ip").
    20                           ; 
    21                           ; Redistribution and use in source and binary forms, with or without modification, are
    22                           ; permitted provided that the following conditions are met:
    23                           ; 
    24                           ;     1. Redistributions of source code must retain the above copyright notice, this lis
      +                          t of
    25                           ;        conditions and the following disclaimer.
    26                           ; 
    27                           ;     2. Redistributions in binary form must reproduce the above copyright notice, this 
      +                          list
    28                           ;        of conditions and the following disclaimer in the documentation and/or other
    29                           ;        materials provided with the distribution.
    30                           ; 
    31                           ;     3. Microchip's name may not be used to endorse or promote products derived from th
      +                          is
    32                           ;        software without specific prior written permission.
    33                           ; 
    34                           ; THIS SOFTWARE IS PROVIDED BY MICROCHIP "AS IS" AND ANY EXPRESS OR IMPLIED WARRANTIES,
    35                           ; INCLUDING, BUT NOT LIMITED TO, THE IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS F
      +                          OR
    36                           ; PURPOSE ARE DISCLAIMED.  IN NO EVENT SHALL MICROCHIP BE LIABLE FOR ANY DIRECT, INDIREC
      +                          T,
    37                           ; INCIDENTAL, SPECIAL, EXEMPLARY, OR CONSEQUENTIAL DAMAGES (INCLUDING BUT NOT LIMITED TO
    38                           ; PROCUREMENT OF SUBSTITUTE GOODS OR SERVICES; LOSS OF USE, DATA OR PROFITS; OR BUSINESS
    39                           ; INTERRUPTION) HOWSOEVER CAUSED AND ON ANY THEORY OF LIABILITY, WHETHER IN CONTRACT, ST
      +                          RICT
    40                           ; LIABILITY, OR TORT (INCLUDING NEGLIGENCE OR OTHERWISE) ARISING IN ANY WAY OUT OF THE U
      +                          SE OF
    41                           ; THIS SOFTWARE, EVEN IF ADVISED OF THE POSSIBILITY OF SUCH DAMAGE.
    42                           ; 
    43                           ; 
    44                           ; Code-generator required, PIC16F1708 Definitions
    45                           ; 
    46                           ; SFR Addresses
    47  0000                     	;# 
   436  0396                     	;# 
   437  0397                     	;# 
   438  0398                     	;# 
   439  0399                     	;# 
   440  0415                     	;# 
   441  0416                     	;# 
   442  0417                     	;# 
   443  041C                     	;# 
   444  041D                     	;# 
   445  041E                     	;# 
   446  0511                     	;# 
   447  0515                     	;# 
   448  0617                     	;# 
   449  0618                     	;# 
   450  0619                     	;# 
   451  0619                     	;# 
   452  061A                     	;# 
   453  061B                     	;# 
   454  061C                     	;# 
   455  061C                     	;# 
   456  0691                     	;# 
   457  0692                     	;# 
   458  0693                     	;# 
   459  0694                     	;# 
   460  0695                     	;# 
   461  0696                     	;# 
   462  0697                     	;# 
   463  0698                     	;# 
   464  0699                     	;# 
   465  069A                     	;# 
   466  069B                     	;# 
   467  069C                     	;# 
   468  069D                     	;# 
   469  069E                     	;# 
   470  069F                     	;# 
   471  0E0F                     	;# 
   472  0E10                     	;# 
   473  0E11                     	;# 
   474  0E12                     	;# 
   475  0E13                     	;# 
   476  0E14                     	;# 
   477  0E15                     	;# 
   478  0E17                     	;# 
   479  0E20                     	;# 
   480  0E21                     	;# 
   481  0E22                     	;# 
   482  0E24                     	;# 
   483  0E25                     	;# 
   484  0E28                     	;# 
   485  0E29                     	;# 
   486  0E2A                     	;# 
   487  0E2B                     	;# 
   488  0E90                     	;# 
   489  0E91                     	;# 
   490  0E92                     	;# 
   491  0E94                     	;# 
   492  0E95                     	;# 
   493  0E9C                     	;# 
   494  0E9D                     	;# 
   495  0E9E                     	;# 
   496  0E9F                     	;# 
   497  0EA0                     	;# 
   498  0EA1                     	;# 
   499  0EA2                     	;# 
   500  0EA3                     	;# 
   501  0EA4                     	;# 
   502  0EA5                     	;# 
   503  0EA6                     	;# 
   504  0EA7                     	;# 
   505  0F0F                     	;# 
   506  0F10                     	;# 
   507  0F11                     	;# 
   508  0F12                     	;# 
   509  0F13                     	;# 
   510  0F14                     	;# 
   511  0F15                     	;# 
   512  0F16                     	;# 
   513  0F17                     	;# 
   514  0F18                     	;# 
   515  0F19                     	;# 
   516  0F1A                     	;# 
   517  0F1B                     	;# 
   518  0F1C                     	;# 
   519  0F1D                     	;# 
   520  0F1E                     	;# 
   521  0F1F                     	;# 
   522  0F20                     	;# 
   523  0F21                     	;# 
   524  0F22                     	;# 
   525  0F23                     	;# 
   526  0F24                     	;# 
   527  0F25                     	;# 
   528  0F26                     	;# 
   529  0F27                     	;# 
   530  0F28                     	;# 
   531  0F29                     	;# 
   532  0F2A                     	;# 
   533  0F2B                     	;# 
   534  0F2C                     	;# 
   535  0F2D                     	;# 
   536  0FE4                     	;# 
   537  0FE5                     	;# 
   538  0FE6                     	;# 
   539  0FE7                     	;# 
   540  0FE8                     	;# 
   541  0FE9                     	;# 
   542  0FEA                     	;# 
   543  0FEB                     	;# 
   544  0FED                     	;# 
   545  0FEE                     	;# 
   546  0FEF                     	;# 
   547  0000                     	;# 
   548  0001                     	;# 
   549  0002                     	;# 
   550  0003                     	;# 
   551  0004                     	;# 
   552  0005                     	;# 
   553  0006                     	;# 
   554  0007                     	;# 
   555  0008                     	;# 
   556  0009                     	;# 
   557  000A                     	;# 
   558  000B                     	;# 
   559  000C                     	;# 
   560  000D                     	;# 
   561  000E                     	;# 
   562  0011                     	;# 
   563  0012                     	;# 
   564  0013                     	;# 
   565  0015                     	;# 
   566  0016                     	;# 
   567  0016                     	;# 
   568  0017                     	;# 
   569  0018                     	;# 
   570  0019                     	;# 
   571  001A                     	;# 
   572  001B                     	;# 
   573  001C                     	;# 
   574  008C                     	;# 
   575  008D                     	;# 
   576  008E                     	;# 
   577  0091                     	;# 
   578  0092                     	;# 
   579  0093                     	;# 
   580  0095                     	;# 
   581  0096                     	;# 
   582  0097                     	;# 
   583  0098                     	;# 
   584  0099                     	;# 
   585  009A                     	;# 
   586  009B                     	;# 
   587  009B                     	;# 
   588  009C                     	;# 
   589  009D                     	;# 
   590  009E                     	;# 
   591  009F                     	;# 
   592  010C                     	;# 
   593  010D                     	;# 
   594  010E                     	;# 
   595  0111                     	;# 
   596  0112                     	;# 
   597  0113                     	;# 
   598  0114                     	;# 
   599  0115                     	;# 
   600  0116                     	;# 
   601  0117                     	;# 
   602  0118                     	;# 
   603  0119                     	;# 
   604  011C                     	;# 
   605  018C                     	;# 
   606  018D                     	;# 
   607  018E                     	;# 
   608  0191                     	;# 
   609  0191                     	;# 
   610  0192                     	;# 
   611  0193                     	;# 
   612  0193                     	;# 
   613  0194                     	;# 
   614  0195                     	;# 
   615  0196                     	;# 
   616  0197                     	;# 
   617  0199                     	;# 
   618  0199                     	;# 
   619  0199                     	;# 
   620  019A                     	;# 
   621  019A                     	;# 
   622  019A                     	;# 
   623  019B                     	;# 
   624  019B                     	;# 
   625  019B                     	;# 
   626  019B                     	;# 
   627  019B                     	;# 
   628  019C                     	;# 
   629  019C                     	;# 
   630  019C                     	;# 
   631  019D                     	;# 
   632  019D                     	;# 
   633  019D                     	;# 
   634  019E                     	;# 
   635  019E                     	;# 
   636  019E                     	;# 
   637  019F                     	;# 
   638  019F                     	;# 
   639  019F                     	;# 
   640  019F                     	;# 
   641  019F                     	;# 
   642  020C                     	;# 
   643  020D                     	;# 
   644  020E                     	;# 
   645  0211                     	;# 
   646  0211                     	;# 
   647  0212                     	;# 
   648  0212                     	;# 
   649  0213                     	;# 
   650  0213                     	;# 
   651  0214                     	;# 
   652  0214                     	;# 
   653  0215                     	;# 
   654  0215                     	;# 
   655  0215                     	;# 
   656  0215                     	;# 
   657  0216                     	;# 
   658  0216                     	;# 
   659  0217                     	;# 
   660  0217                     	;# 
   661  028C                     	;# 
   662  028D                     	;# 
   663  028E                     	;# 
   664  0291                     	;# 
   665  0291                     	;# 
   666  0292                     	;# 
   667  0293                     	;# 
   668  0293                     	;# 
   669  0298                     	;# 
   670  0298                     	;# 
   671  0299                     	;# 
   672  029A                     	;# 
   673  029A                     	;# 
   674  029E                     	;# 
   675  030C                     	;# 
   676  030D                     	;# 
   677  030E                     	;# 
   678  038C                     	;# 
   679  038D                     	;# 
   680  038E                     	;# 
   681  0391                     	;# 
   682  0392                     	;# 
   683  0393                     	;# 
   684  0394                     	;# 
   685  0395                     	;# 
   686  0396                     	;# 
   687  0397                     	;# 
   688  0398                     	;# 
   689  0399                     	;# 
   690  0415                     	;# 
   691  0416                     	;# 
   692  0417                     	;# 
   693  041C                     	;# 
   694  041D                     	;# 
   695  041E                     	;# 
   696  0511                     	;# 
   697  0515                     	;# 
   698  0617                     	;# 
   699  0618                     	;# 
   700  0619                     	;# 
   701  0619                     	;# 
   702  061A                     	;# 
   703  061B                     	;# 
   704  061C                     	;# 
   705  061C                     	;# 
   706  0691                     	;# 
   707  0692                     	;# 
   708  0693                     	;# 
   709  0694                     	;# 
   710  0695                     	;# 
   711  0696                     	;# 
   712  0697                     	;# 
   713  0698                     	;# 
   714  0699                     	;# 
   715  069A                     	;# 
   716  069B                     	;# 
   717  069C                     	;# 
   718  069D                     	;# 
   719  069E                     	;# 
   720  069F                     	;# 
   721  0E0F                     	;# 
   722  0E10                     	;# 
   723  0E11                     	;# 
   724  0E12                     	;# 
   725  0E13                     	;# 
   726  0E14                     	;# 
   727  0E15                     	;# 
   728  0E17                     	;# 
   729  0E20                     	;# 
   730  0E21                     	;# 
   731  0E22                     	;# 
   732  0E24                     	;# 
   733  0E25                     	;# 
   734  0E28                     	;# 
   735  0E29                     	;# 
   736  0E2A                     	;# 
   737  0E2B                     	;# 
   738  0E90                     	;# 
   739  0E91                     	;# 
   740  0E92                     	;# 
   741  0E94                     	;# 
   742  0E95                     	;# 
   743  0E9C                     	;# 
   744  0E9D                     	;# 
   745  0E9E                     	;# 
   746  0E9F                     	;# 
   747  0EA0                     	;# 
   748  0EA1                     	;# 
   749  0EA2                     	;# 
   750  0EA3                     	;# 
   751  0EA4                     	;# 
   752  0EA5                     	;# 
   753  0EA6                     	;# 
   754  0EA7                     	;# 
   755  0F0F                     	;# 
   756  0F10                     	;# 
   757  0F11                     	;# 
   758  0F12                     	;# 
   759  0F13                     	;# 
   760  0F14                     	;# 
   761  0F15                     	;# 
   762  0F16                     	;# 
   763  0F17                     	;# 
   764  0F18                     	;# 
   765  0F19                     	;# 
   766  0F1A                     	;# 
   767  0F1B                     	;# 
   768  0F1C                     	;# 
   769  0F1D                     	;# 
   770  0F1E                     	;# 
   771  0F1F                     	;# 
   772  0F20                     	;# 
   773  0F21                     	;# 
   774  0F22                     	;# 
   775  0F23                     	;# 
   776  0F24                     	;# 
   777  0F25                     	;# 
   778  0F26                     	;# 
   779  0F27                     	;# 
   780  0F28                     	;# 
   781  0F29                     	;# 
   782  0F2A                     	;# 
   783  0F2B                     	;# 
   784  0F2C                     	;# 
   785  0F2D                     	;# 
   786  0FE4                     	;# 
   787  0FE5                     	;# 
   788  0FE6                     	;# 
   789  0FE7                     	;# 
   790  0FE8                     	;# 
   791  0FE9                     	;# 
   792  0FEA                     	;# 
   793  0FEB                     	;# 
   794  0FED                     	;# 
   795  0FEE                     	;# 
   796  0FEF                     	;# 
   797  0095                     _OPTION_REGbits	set	149
   798  008E                     _TRISC	set	142
   799  008D                     _TRISB	set	141
   800  008C                     _TRISA	set	140
   801  0097                     _WDTCON	set	151
   802  0098                     _OSCTUNE	set	152
   803  009A                     _OSCSTAT	set	154
   804  0099                     _OSCCON	set	153
   805  010E                     _LATC	set	270
   806  010D                     _LATB	set	269
   807  010C                     _LATA	set	268
   808  0116                     _BORCON	set	278
   809  010C                     _LATAbits	set	268
   810  018C                     _ANSELA	set	396
   811  018D                     _ANSELB	set	397
   812  018E                     _ANSELC	set	398
   813  020E                     _WPUC	set	526
   814  020C                     _WPUA	set	524
   815  020D                     _WPUB	set	525
   816  028E                     _ODCONC	set	654
   817  028D                     _ODCONB	set	653
   818  028C                     _ODCONA	set	652
   819  030E                     _SLRCONC	set	782
   820  030D                     _SLRCONB	set	781
   821  030C                     _SLRCONA	set	780
   822  038E                     _INLVLC	set	910
   823  038D                     _INLVLB	set	909
   824  038C                     _INLVLA	set	908
   825                           
   826                           ; #config settings
   827  0000                     
   828                           	psect	cinit
   829  07FD                     start_initialization:	
   830  07FD                     __initialization:	
   831  07FD                     end_of_initialization:	
   832                           ;End of C runtime variable initialization code
   833                           
   834  07FD                     __end_of__initialization:	
   835  07FD  0020               	movlb	0
   836  07FE  3187  2FB5         	ljmp	_main	;jump to C main() function
   837                           
   838                           	psect	cstackCOMMON
   839  0070                     __pcstackCOMMON:	
   840  0070                     ?_SYSTEM_Initialize:	
   841  0070                     ??_SYSTEM_Initialize:	
   842                           ; 1 bytes @ 0x0
   843                           
   844  0070                     ?_PIN_MANAGER_Initialize:	
   845                           ; 1 bytes @ 0x0
   846                           
   847  0070                     ??_PIN_MANAGER_Initialize:	
   848                           ; 1 bytes @ 0x0
   849                           
   850  0070                     ?_OSCILLATOR_Initialize:	
   851                           ; 1 bytes @ 0x0
   852                           
   853  0070                     ??_OSCILLATOR_Initialize:	
   854                           ; 1 bytes @ 0x0
   855                           
   856  0070                     ?_WDT_Initialize:	
   857                           ; 1 bytes @ 0x0
   858                           
   859  0070                     ??_WDT_Initialize:	
   860                           ; 1 bytes @ 0x0
   861                           
   862  0070                     ?_main:	
   863                           ; 1 bytes @ 0x0
   864                           
   865  0070                     ??_main:	
   866                           ; 1 bytes @ 0x0
   867                           
   868                           
   869                           ; 1 bytes @ 0x0
   870  0070                     	ds	2
   871                           
   872                           	psect	maintext
   873  07B5                     __pmaintext:	
   874 ;;
   875 ;;Main: autosize = 0, tempsize = 2, incstack = 0, save=0
   876 ;;
   877 ;; *************** function _main *****************
   878 ;; Defined at:
   879 ;;		line 49 in file "main.c"
   880 ;; Parameters:    Size  Location     Type
   881 ;;		None
   882 ;; Auto vars:     Size  Location     Type
   883 ;;		None
   884 ;; Return value:  Size  Location     Type
   885 ;;                  1    wreg      void 
   886 ;; Registers used:
   887 ;;		wreg, status,2, status,0, pclath, cstack
   888 ;; Tracked objects:
   889 ;;		On entry : B1F/0
   890 ;;		On exit  : 0/0
   891 ;;		Unchanged: 0/0
   892 ;; Data sizes:     COMMON   BANK0   BANK1   BANK2   BANK3   BANK4   BANK5   BANK6
   893 ;;      Params:         0       0       0       0       0       0       0       0
   894 ;;      Locals:         0       0       0       0       0       0       0       0
   895 ;;      Temps:          2       0       0       0       0       0       0       0
   896 ;;      Totals:         2       0       0       0       0       0       0       0
   897 ;;Total ram usage:        2 bytes
   898 ;; Hardware stack levels required when called:    2
   899 ;; This function calls:
   900 ;;		_SYSTEM_Initialize
   901 ;; This function is called by:
